Date,Bern-Mittelland,Biel/Bienne,Emmental,Frutigen-Niedersimmental,Interlaken-Oberhasli,Jura bernois,Oberaargau,Obersimmental-Saanen,Seeland,Thun,Total
2020-06-27,826,205,110,56,65,223,108,54,128,101,1876
2020-06-28,827,205,110,56,65,223,108,54,128,101,1877
2020-06-29,828,207,110,56,65,223,109,55,128,101,1882
2020-06-30,829,208,110,56,66,225,110,55,128,101,1888
2020-07-01,831,208,110,56,66,225,111,55,129,101,1892
2020-07-02,833,208,110,56,66,225,111,55,130,101,1895
2020-07-03,837,209,112,56,66,225,111,55,130,101,1902
2020-07-04,838,209,112,56,66,225,111,55,130,101,1903
2020-07-05,838,210,112,56,67,225,111,55,130,101,1905
2020-07-06,841,210,112,56,67,226,111,56,130,101,1910
2020-07-07,843,211,112,56,68,226,112,56,130,102,1916
2020-07-08,845,212,113,56,68,226,112,56,130,102,1920
2020-07-09,847,214,113,56,68,226,115,56,130,104,1929
2020-07-10,849,214,116,56,68,226,116,56,130,105,1936
2020-07-11,852,214,116,56,69,226,116,56,130,106,1941
2020-07-12,853,214,116,56,69,226,116,56,130,106,1942
