Date,Bern-Mittelland,Biel/Bienne,Emmental,Frutigen-Niedersimmental,Interlaken-Oberhasli,Jura bernois,Oberaargau,Obersimmental-Saanen,Seeland,Thun,Total
2020-04-15,2,1,0,0,0,2,2,1,1,0,9
2020-04-16,2,1,0,0,0,2,2,1,1,0,9
2020-04-17,2,1,0,0,0,2,2,1,1,0,9
2020-04-18,2,1,0,0,0,2,2,1,1,0,9
2020-04-19,2,1,0,0,0,2,2,1,1,0,9
2020-04-20,2,1,0,0,0,2,2,1,1,0,9
2020-04-21,2,1,0,0,0,2,2,1,1,0,9
2020-04-22,2,1,0,0,0,2,2,1,1,0,9
2020-04-23,2,1,0,0,0,2,2,1,1,0,9
2020-04-24,2,1,0,0,0,2,2,1,1,0,9
2020-04-25,2,1,0,0,0,2,2,1,1,0,9
2020-04-26,2,1,0,0,0,2,2,1,1,0,9
2020-04-27,2,1,0,0,0,2,2,1,1,0,9
2020-04-28,2,1,0,0,0,2,2,1,1,0,9
2020-04-29,2,1,0,0,0,2,2,1,1,0,9
2020-04-30,2,1,0,0,0,2,2,1,1,0,9
2020-05-01,2,1,0,0,0,2,2,1,1,0,9
2020-05-02,2,1,0,0,0,2,2,1,1,0,9
2020-05-03,2,1,0,0,0,2,2,1,1,0,9
2020-05-04,2,1,1,0,0,2,2,1,1,0,10
2020-05-05,2,1,1,0,0,2,2,1,1,0,10
2020-05-06,2,1,1,0,0,2,2,1,1,0,10
2020-05-07,2,1,1,0,0,2,2,1,1,0,10
2020-05-08,2,1,1,0,0,2,2,1,1,0,10
2020-05-09,2,1,1,0,0,2,2,1,1,0,10
2020-05-10,2,1,1,0,0,2,2,1,1,0,10
2020-05-11,2,1,1,0,0,3,2,1,1,0,11
2020-05-12,2,1,1,0,0,3,2,1,1,0,11
2020-05-13,2,1,1,0,0,3,2,1,1,0,11
2020-05-14,2,1,1,0,0,3,2,1,1,0,11
2020-05-15,2,1,1,0,0,3,2,1,1,0,11
2020-05-16,2,1,1,0,0,3,2,1,1,0,11
2020-05-17,2,1,1,0,0,3,2,1,1,0,11
2020-05-18,2,1,1,0,0,3,2,1,1,0,11
2020-05-19,2,1,1,0,0,3,2,1,1,0,11
2020-05-20,2,1,1,0,0,3,2,1,1,0,11
2020-05-21,2,1,1,0,0,3,2,1,1,0,11
2020-05-22,2,1,1,0,0,3,2,1,1,0,11
2020-05-23,2,1,1,0,0,3,2,1,1,0,11
2020-05-24,2,1,1,0,0,3,2,1,1,0,11
2020-05-25,2,1,1,0,0,3,2,1,1,0,11
2020-05-26,2,1,1,0,0,3,2,1,1,0,11
2020-05-27,2,1,1,0,0,3,2,1,1,0,11
2020-05-28,2,1,1,0,0,3,2,1,1,0,11
2020-05-29,2,1,1,0,0,3,2,1,1,0,11
2020-05-30,2,1,1,0,0,3,2,1,1,0,11
2020-05-31,2,1,1,0,0,3,2,1,1,0,11
2020-06-01,2,1,1,0,0,3,2,1,1,0,11
2020-06-02,2,1,1,0,0,3,2,1,1,0,11
2020-06-03,2,1,1,0,0,3,2,1,1,0,11
2020-06-04,2,1,1,0,0,3,2,1,1,0,11
2020-06-05,2,1,1,0,0,3,2,1,1,0,11
2020-06-06,2,1,1,0,0,3,2,1,1,0,11
2020-06-07,2,1,1,0,0,3,2,1,1,0,11
2020-06-08,2,1,1,0,0,3,2,1,1,0,11
2020-06-09,2,1,1,0,0,3,2,1,1,0,11
2020-06-10,2,1,1,0,0,3,2,1,1,0,11
2020-06-11,2,1,1,0,0,3,2,1,1,0,11
2020-06-12,2,1,1,0,0,3,2,1,1,0,11
2020-06-13,2,1,1,0,0,3,2,1,1,0,11
2020-06-14,2,1,1,0,0,3,2,1,1,0,11
2020-06-15,2,1,1,0,0,3,2,1,1,0,11
2020-06-16,2,1,1,0,0,3,2,1,1,0,11
2020-06-17,2,1,1,0,0,3,2,1,1,0,11
2020-06-18,2,1,1,0,0,3,2,1,1,0,11
2020-06-19,2,1,1,0,0,3,2,1,1,0,11
2020-06-20,2,1,1,0,0,3,2,1,1,0,11
2020-06-21,2,1,1,0,0,3,2,1,1,0,11
2020-06-22,2,1,1,0,0,3,2,1,1,0,11
2020-06-23,2,1,1,0,0,3,2,1,1,0,11
